TRACK,STRATA
1,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.1524)
2,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.1524)
3,1.0 x 0+treatment()+AU(985503001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
4,1.0 x 0+treatment()+AU(985502003)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.2752)
5,1.0 x 0+treatment()+AU(985502003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.2752)
6,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
7,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.6564)
8,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.6564)
9,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
10,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
11,1.0 x 0+treatment()+AU(985501001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0943)
12,1.0 x 0+treatment()+AU(985501001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0943)
13,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
14,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0035)
15,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0035)
16,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
17,1.0 x 0+treatment()+AU(985502001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.1318)
18,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.1318)
19,1.0 x 0+treatment()+AU(985502001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0326)
20,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0326)
21,1.0 x 0+treatment()+AU(985503003)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(9.0E-4)
22,1.0 x 0+treatment()+AU(985503003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(9.0E-4)
23,1.0 x 0+treatment()+AU(985503003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(9.0E-4)
24,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.821400714419659)
25,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.821400714419659)
26,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.821400714419659)
27,1.0 x 0+treatment()+AU(985501000)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0353)
28,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0353)
29,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0353)
30,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.5082)
31,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.5082)
32,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.5082)
