TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,3
1,feature.Seral.CWHvm_DR_HW_M.immature,,4
1,feature.Seral.CWHvm_DR_HW_M.mature,,5
1,feature.Seral.CWHvm_DR_HW_M.overmature,,6
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
1,feature.Seral.CWHvm_DR_HW_M.young,,8
1,feature.Seral.immature,,4
1,feature.Seral.mature,,5
1,feature.Seral.overmature,,6
1,feature.Seral.regenerating,,7
1,feature.Seral.young,,8
1,feature.SpeciesProp.unmanaged.CW,,9
1,feature.SpeciesProp.unmanaged.FDC,,10
1,feature.SpeciesProp.unmanaged.HW,,11
1,feature.Yield.unmanaged.CW,,12
1,feature.Yield.unmanaged.FDC,,13
1,feature.Yield.unmanaged.HW,,14
1,feature.Yield.unmanaged.Total,,15
2,feature.Area.managed,,16
2,feature.Area.og1.CWHvm_DR_HW_M,,17
2,feature.Area.og1.total,,17
2,feature.Area.og2.CWHvm_DR_HW_M,,18
2,feature.Area.og2.total,,18
2,feature.QMD.managed.CWHvm_DR_HW_M,,19
2,feature.Seral.CWHvm_DR_HW_M.immature,,20
2,feature.Seral.CWHvm_DR_HW_M.mature,,21
2,feature.Seral.CWHvm_DR_HW_M.overmature,,22
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,23
2,feature.Seral.CWHvm_DR_HW_M.young,,24
2,feature.Seral.immature,,20
2,feature.Seral.mature,,21
2,feature.Seral.overmature,,22
2,feature.Seral.regenerating,,23
2,feature.Seral.young,,24
2,feature.SpeciesProp.managed.CW,,25
2,feature.SpeciesProp.managed.FDC,,10
2,feature.SpeciesProp.managed.HW,,26
2,feature.Yield.managed.CW,,27
2,feature.Yield.managed.FDC,,28
2,feature.Yield.managed.HW,,29
2,feature.Yield.managed.Total,,30
3,feature.Area.managed,,2
3,feature.Area.og1.CWHvm_FDC_HW_H,,44
3,feature.Area.og1.total,,44
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.QMD.managed.CWHvm_FDC_HW_H,,45
3,feature.Seral.CWHvm_FDC_HW_H.immature,,46
3,feature.Seral.CWHvm_FDC_HW_H.mature,,47
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,48
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,7
3,feature.Seral.CWHvm_FDC_HW_H.young,,8
3,feature.Seral.immature,,46
3,feature.Seral.mature,,47
3,feature.Seral.overmature,,48
3,feature.Seral.regenerating,,7
3,feature.Seral.young,,8
3,feature.SpeciesProp.managed.CW,,49
3,feature.SpeciesProp.managed.FDC,,50
3,feature.SpeciesProp.managed.HW,,51
3,feature.Yield.managed.CW,,52
3,feature.Yield.managed.FDC,,53
3,feature.Yield.managed.HW,,54
3,feature.Yield.managed.Total,,55
4,feature.Area.og1.CWHvm_HW_CW_M,,69
4,feature.Area.og1.total,,69
4,feature.Area.og2.CWHvm_HW_CW_M,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.QMD.unmanaged.CWHvm_HW_CW_M,,70
4,feature.Seral.CWHvm_HW_CW_M.immature,,71
4,feature.Seral.CWHvm_HW_CW_M.mature,,72
4,feature.Seral.CWHvm_HW_CW_M.overmature,,73
4,feature.Seral.CWHvm_HW_CW_M.regenerating,,7
4,feature.Seral.CWHvm_HW_CW_M.young,,8
4,feature.Seral.immature,,71
4,feature.Seral.mature,,72
4,feature.Seral.overmature,,73
4,feature.Seral.regenerating,,7
4,feature.Seral.young,,8
4,feature.SpeciesProp.unmanaged.CW,,26
4,feature.SpeciesProp.unmanaged.FDC,,25
4,feature.SpeciesProp.unmanaged.HW,,10
4,feature.Yield.unmanaged.CW,,74
4,feature.Yield.unmanaged.FDC,,75
4,feature.Yield.unmanaged.HW,,76
4,feature.Yield.unmanaged.Total,,77
5,feature.Area.managed,,16
5,feature.Area.og1.CWHvm_HW_CW_M,,78
5,feature.Area.og1.total,,78
5,feature.Area.og2.CWHvm_HW_CW_M,,18
5,feature.Area.og2.total,,18
5,feature.QMD.managed.CWHvm_HW_CW_M,,79
5,feature.Seral.CWHvm_HW_CW_M.immature,,80
5,feature.Seral.CWHvm_HW_CW_M.mature,,81
5,feature.Seral.CWHvm_HW_CW_M.overmature,,82
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,23
5,feature.Seral.CWHvm_HW_CW_M.young,,24
5,feature.Seral.immature,,80
5,feature.Seral.mature,,81
5,feature.Seral.overmature,,82
5,feature.Seral.regenerating,,23
5,feature.Seral.young,,24
5,feature.SpeciesProp.managed.CW,,26
5,feature.SpeciesProp.managed.FDC,,25
5,feature.SpeciesProp.managed.HW,,83
5,feature.Yield.managed.CW,,84
5,feature.Yield.managed.FDC,,85
5,feature.Yield.managed.HW,,86
5,feature.Yield.managed.Total,,87
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_HW_FDC_H,,101
6,feature.Area.og1.total,,101
6,feature.Area.og2.CWHvm_HW_FDC_H,,1
6,feature.Area.og2.total,,1
6,feature.QMD.managed.CWHvm_HW_FDC_H,,102
6,feature.Seral.CWHvm_HW_FDC_H.immature,,46
6,feature.Seral.CWHvm_HW_FDC_H.mature,,47
6,feature.Seral.CWHvm_HW_FDC_H.overmature,,48
6,feature.Seral.CWHvm_HW_FDC_H.regenerating,,7
6,feature.Seral.CWHvm_HW_FDC_H.young,,8
6,feature.Seral.immature,,46
6,feature.Seral.mature,,47
6,feature.Seral.overmature,,48
6,feature.Seral.regenerating,,7
6,feature.Seral.young,,8
6,feature.SpeciesProp.managed.CW,,11
6,feature.SpeciesProp.managed.FDC,,9
6,feature.SpeciesProp.managed.HW,,10
6,feature.Yield.managed.CW,,103
6,feature.Yield.managed.FDC,,104
6,feature.Yield.managed.HW,,105
6,feature.Yield.managed.Total,,106
7,feature.Area.og1.CWHvm_DR_HW_M,,17
7,feature.Area.og1.total,,17
7,feature.Area.og2.CWHvm_DR_HW_M,,18
7,feature.Area.og2.total,,18
7,feature.Area.unmanaged,,16
7,feature.QMD.unmanaged.CWHvm_DR_HW_M,,115
7,feature.Seral.CWHvm_DR_HW_M.immature,,20
7,feature.Seral.CWHvm_DR_HW_M.mature,,21
7,feature.Seral.CWHvm_DR_HW_M.overmature,,22
7,feature.Seral.CWHvm_DR_HW_M.regenerating,,23
7,feature.Seral.CWHvm_DR_HW_M.young,,24
7,feature.Seral.immature,,20
7,feature.Seral.mature,,21
7,feature.Seral.overmature,,22
7,feature.Seral.regenerating,,23
7,feature.Seral.young,,24
7,feature.SpeciesProp.unmanaged.CW,,25
7,feature.SpeciesProp.unmanaged.FDC,,10
7,feature.SpeciesProp.unmanaged.HW,,26
7,feature.Yield.unmanaged.CW,,116
7,feature.Yield.unmanaged.FDC,,117
7,feature.Yield.unmanaged.HW,,118
7,feature.Yield.unmanaged.Total,,119
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_DR_HW_M,,0
8,feature.Area.og1.total,,0
8,feature.Area.og2.CWHvm_DR_HW_M,,1
8,feature.Area.og2.total,,1
8,feature.QMD.managed.CWHvm_DR_HW_M,,120
8,feature.Seral.CWHvm_DR_HW_M.immature,,4
8,feature.Seral.CWHvm_DR_HW_M.mature,,5
8,feature.Seral.CWHvm_DR_HW_M.overmature,,6
8,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
8,feature.Seral.CWHvm_DR_HW_M.young,,8
8,feature.Seral.immature,,4
8,feature.Seral.mature,,5
8,feature.Seral.overmature,,6
8,feature.Seral.regenerating,,7
8,feature.Seral.young,,8
8,feature.SpeciesProp.managed.CW,,121
8,feature.SpeciesProp.managed.FDC,,10
8,feature.SpeciesProp.managed.HW,,122
8,feature.Yield.managed.CW,,123
8,feature.Yield.managed.FDC,,124
8,feature.Yield.managed.HW,,125
8,feature.Yield.managed.Total,,126
9,feature.Area.managed,,2
9,feature.Area.og1.CWHvm_HW_CW_L,,138
9,feature.Area.og1.total,,138
9,feature.Area.og2.CWHvm_HW_CW_L,,1
9,feature.Area.og2.total,,1
9,feature.QMD.managed.CWHvm_HW_CW_L,,139
9,feature.Seral.CWHvm_HW_CW_L.immature,,4
9,feature.Seral.CWHvm_HW_CW_L.mature,,140
9,feature.Seral.CWHvm_HW_CW_L.overmature,,73
9,feature.Seral.CWHvm_HW_CW_L.regenerating,,7
