TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Treated.managed.CWHvm_FDC_HW_H.PCT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,3,30,10.0,0.0,10000.0,1.0,1.0,12.401000022888184,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,4,40,10.0,0.0,10000.0,1.0,1.0,25.06599998474121,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,5,50,10.0,0.0,10000.0,1.0,1.0,48.36800003051758,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,7,70,10.0,0.0,10000.0,1.0,1.0,5.691999912261963,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,8,80,10.0,0.0,10000.0,1.0,1.0,6.314000129699707,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,9,90,10.0,0.0,10000.0,1.0,1.0,5.668000221252441,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,11,110,10.0,0.0,10000.0,1.0,1.0,20.52400016784668,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,12,120,10.0,0.0,10000.0,1.0,1.0,31.631000518798828,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,16,160,10.0,0.0,10000.0,1.0,1.0,42.470001220703125,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,18,180,10.0,0.0,10000.0,1.0,1.0,6.314000129699707,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,19,190,10.0,0.0,10000.0,1.0,1.0,12.800999641418457,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,20,200,10.0,0.0,10000.0,1.0,1.0,43.71099853515625,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,21,210,10.0,0.0,10000.0,1.0,1.0,1.3109999895095825,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
