TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_DR_HW_M.mature,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,7,70,10.0,0.0,10000.0,1.0,1.0,12.541000366210938,0.0
feature.Seral.CWHvm_DR_HW_M.mature,8,80,10.0,0.0,10000.0,1.0,1.0,49.25199890136719,0.0
feature.Seral.CWHvm_DR_HW_M.mature,9,90,10.0,0.0,10000.0,1.0,1.0,36.71099853515625,0.0
feature.Seral.CWHvm_DR_HW_M.mature,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,20,200,10.0,0.0,10000.0,1.0,1.0,3.563999891281128,0.0
feature.Seral.CWHvm_DR_HW_M.mature,21,210,10.0,0.0,10000.0,1.0,1.0,7.14300012588501,0.0
feature.Seral.CWHvm_DR_HW_M.mature,22,220,10.0,0.0,10000.0,1.0,1.0,4.684999942779541,0.0
feature.Seral.CWHvm_DR_HW_M.mature,23,230,10.0,0.0,10000.0,1.0,1.0,0.5109999775886536,0.0
feature.Seral.CWHvm_DR_HW_M.mature,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,26,260,10.0,0.0,10000.0,1.0,1.0,1.8480000495910645,0.0
feature.Seral.CWHvm_DR_HW_M.mature,27,270,10.0,0.0,10000.0,1.0,1.0,1.8480000495910645,0.0
feature.Seral.CWHvm_DR_HW_M.mature,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.mature,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
