TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_L.regenerating,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,11,110,10.0,0.0,10000.0,1.0,1.0,17.645000457763672,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,17,170,10.0,0.0,10000.0,1.0,1.0,4.5370001792907715,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,18,180,10.0,0.0,10000.0,1.0,1.0,18.000999450683594,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,19,190,10.0,0.0,10000.0,1.0,1.0,5.492000102996826,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,20,200,10.0,0.0,10000.0,1.0,1.0,27.804000854492188,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,21,210,10.0,0.0,10000.0,1.0,1.0,34.111000061035156,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,22,220,10.0,0.0,10000.0,1.0,1.0,22.409000396728516,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,23,230,10.0,0.0,10000.0,1.0,1.0,8.88700008392334,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,24,240,10.0,0.0,10000.0,1.0,1.0,18.500999450683594,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,25,250,10.0,0.0,10000.0,1.0,1.0,3.8359999656677246,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,28,280,10.0,0.0,10000.0,1.0,1.0,20.948999404907227,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,29,290,10.0,0.0,10000.0,1.0,1.0,40.74700164794922,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,30,300,10.0,0.0,10000.0,1.0,1.0,35.08300018310547,0.0
