TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Seral.area.mature.CWHvm_HW_CW_L.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,11,110,10.0,0.0,10000.0,1.0,1.0,5.070000171661377,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,16,160,10.0,0.0,10000.0,1.0,1.0,9.769000053405762,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,17,170,10.0,0.0,10000.0,1.0,1.0,9.020000457763672,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,20,200,10.0,0.0,10000.0,1.0,1.0,10.567000389099121,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,21,210,10.0,0.0,10000.0,1.0,1.0,9.026000022888184,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.mature.CWHvm_HW_CW_L.CC,30,300,10.0,0.0,10000.0,1.0,1.0,4.1539998054504395,0.0
