TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,70,756,CC,false,2,A,0,0,,0,
4,50,756,CC,false,4,A,0,0,,0,
6,100,756,CC,false,6,A,0,0,,0,
8,70,756,CC,false,8,A,0,0,,0,
10,110,756,CC,false,11,A,0,0,,0,
11,110,756,CC,false,11,A,0,0,,0,
13,80,756,CC,false,13,A,0,0,,0,
15,110,756,CC,false,16,A,0,0,,0,
16,110,756,CC,false,16,A,0,0,,0,
18,80,756,CC,false,18,A,0,0,,0,
20,60,756,CC,false,20,A,0,0,,0,
22,80,756,CC,false,23,A,0,0,,0,
23,80,756,CC,false,23,A,0,0,,0,
25,80,756,CC,false,18,A,0,0,,0,
27,100,756,CC,false,6,A,0,0,,0,
29,70,756,CC,false,8,A,0,0,,0,
31,150,756,CC,false,32,A,0,0,,0,
32,150,756,CC,false,32,A,0,0,,0,
34,80,756,CC,false,35,A,0,0,,0,
35,80,756,CC,false,35,A,0,0,,0,
37,80,756,CC,false,13,A,0,0,,0,
40,150,756,CC,false,41,A,0,0,,0,
41,150,756,CC,false,41,A,0,0,,0,
43,60,756,CC,false,20,A,0,0,,0,
46,70,756,CC,false,47,A,0,0,,0,
47,70,756,CC,false,47,A,0,0,,0,
50,50,756,CC,false,4,A,0,0,,0,
