TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_H.immature,0,0,10.0,0.0,10000.0,1.0,1.0,329.45098876953125,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,1,10,10.0,0.0,10000.0,1.0,1.0,314.55499267578125,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,2,20,10.0,0.0,10000.0,1.0,1.0,258.3559875488281,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,3,30,10.0,0.0,10000.0,1.0,1.0,190.9239959716797,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,4,40,10.0,0.0,10000.0,1.0,1.0,77.9469985961914,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,26,260,10.0,0.0,10000.0,1.0,1.0,15.442000389099121,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,27,270,10.0,0.0,10000.0,1.0,1.0,57.808998107910156,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,28,280,10.0,0.0,10000.0,1.0,1.0,88.83399963378906,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,29,290,10.0,0.0,10000.0,1.0,1.0,144.6199951171875,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,30,300,10.0,0.0,10000.0,1.0,1.0,182.31199645996094,0.0
