TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_H.overmature,0,0,10.0,0.0,10000.0,1.0,1.0,4.2729997634887695,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,1,10,10.0,0.0,10000.0,1.0,1.0,45.77799987792969,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,2,20,10.0,0.0,10000.0,1.0,1.0,45.77799987792969,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,3,30,10.0,0.0,10000.0,1.0,1.0,64.7490005493164,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,4,40,10.0,0.0,10000.0,1.0,1.0,64.7490005493164,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,5,50,10.0,0.0,10000.0,1.0,1.0,64.7490005493164,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,6,60,10.0,0.0,10000.0,1.0,1.0,64.7490005493164,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,7,70,10.0,0.0,10000.0,1.0,1.0,53.17399978637695,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,8,80,10.0,0.0,10000.0,1.0,1.0,39.95199966430664,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,9,90,10.0,0.0,10000.0,1.0,1.0,43.694000244140625,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,10,100,10.0,0.0,10000.0,1.0,1.0,43.694000244140625,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,11,110,10.0,0.0,10000.0,1.0,1.0,43.694000244140625,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,12,120,10.0,0.0,10000.0,1.0,1.0,43.694000244140625,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,13,130,10.0,0.0,10000.0,1.0,1.0,43.694000244140625,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,14,140,10.0,0.0,10000.0,1.0,1.0,47.7140007019043,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,15,150,10.0,0.0,10000.0,1.0,1.0,41.71099853515625,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,16,160,10.0,0.0,10000.0,1.0,1.0,27.76099967956543,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,17,170,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,18,180,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,19,190,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,20,200,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,21,210,10.0,0.0,10000.0,1.0,1.0,40.50299835205078,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,22,220,10.0,0.0,10000.0,1.0,1.0,40.50299835205078,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,23,230,10.0,0.0,10000.0,1.0,1.0,40.50299835205078,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,24,240,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,25,250,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,26,260,10.0,0.0,10000.0,1.0,1.0,26.16900062561035,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,27,270,10.0,0.0,10000.0,1.0,1.0,29.743999481201172,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,28,280,10.0,0.0,10000.0,1.0,1.0,35.74700164794922,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,29,290,10.0,0.0,10000.0,1.0,1.0,35.74700164794922,0.0
feature.Seral.CWHvm_HW_CW_H.overmature,30,300,10.0,0.0,10000.0,1.0,1.0,58.415000915527344,0.0
