TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_CW_PLC_M,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.QMD.managed.CWHvm_CW_PLC_M,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
