TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,30,756,CC,false,2,A,0,0,,0,
3,54,756,CC,false,3,A,0,0,,0,
5,82,756,CC,false,5,A,0,0,,0,
6,58,756,CC,false,6,A,0,0,,0,
8,30,756,CC,false,8,A,0,0,,0,
9,90,756,CC,false,10,A,0,0,,0,
10,90,756,CC,false,10,A,0,0,,0,
12,94,756,CC,false,12,A,0,0,,0,
15,58,756,CC,false,15,A,0,0,,0,
16,58,756,CC,false,16,A,0,0,,0,
18,58,756,CC,false,18,A,0,0,,0,
20,58,756,CC,false,20,A,0,0,,0,
22,78,756,CC,false,23,A,0,0,,0,
23,78,756,CC,false,23,A,0,0,,0,
25,62,756,CC,false,26,A,0,0,,0,
26,62,756,CC,false,26,A,0,0,,0,
28,58,756,CC,false,29,A,0,0,,0,
29,58,756,CC,false,29,A,0,0,,0,
31,62,756,CC,false,32,A,0,0,,0,
32,62,756,CC,false,32,A,0,0,,0,
34,82,756,CC,false,35,A,0,0,,0,
35,82,756,CC,false,35,A,0,0,,0,
38,58,756,CC,false,39,A,0,0,,0,
39,58,756,CC,false,39,A,0,0,,0,
41,58,756,CC,false,42,A,0,0,,0,
42,58,756,CC,false,42,A,0,0,,0,
45,58,756,CC,false,45,A,0,0,,0,
47,58,756,CC,false,47,A,0,0,,0,
49,66,756,CC,false,50,A,0,0,,0,
50,66,756,CC,false,50,A,0,0,,0,
51,58,756,CC,false,51,A,0,0,,0,
53,58,756,CC,false,53,A,0,0,,0,
55,78,756,CC,false,56,A,0,0,,0,
56,78,756,CC,false,56,A,0,0,,0,
58,62,756,CC,false,59,A,0,0,,0,
59,62,756,CC,false,59,A,0,0,,0,
61,94,756,CC,false,62,A,0,0,,0,
62,94,756,CC,false,62,A,0,0,,0,
64,82,756,CC,false,65,A,0,0,,0,
65,82,756,CC,false,65,A,0,0,,0,
66,62,756,CC,false,67,A,0,0,,0,
67,62,756,CC,false,67,A,0,0,,0,
69,90,756,CC,false,70,A,0,0,,0,
70,90,756,CC,false,70,A,0,0,,0,
73,58,756,CC,false,74,A,0,0,,0,
74,58,756,CC,false,74,A,0,0,,0,
75,94,756,CC,false,75,A,0,0,,0,
76,58,756,CC,false,16,A,0,0,,0,
78,30,756,CC,false,78,A,0,0,,0,
80,94,756,CC,false,80,A,0,0,,0,
81,78,756,CC,false,82,A,0,0,,0,
82,78,756,CC,false,82,A,0,0,,0,
84,62,756,CC,false,85,A,0,0,,0,
85,62,756,CC,false,85,A,0,0,,0,
87,30,756,CC,false,87,A,0,0,,0,
89,30,756,CC,false,89,A,0,0,,0,
91,94,756,CC,false,91,A,0,0,,0,
93,62,756,CC,false,94,A,0,0,,0,
94,62,756,CC,false,94,A,0,0,,0,
97,58,756,CC,false,98,A,0,0,,0,
98,58,756,CC,false,98,A,0,0,,0,
100,58,756,CC,false,100,A,0,0,,0,
102,58,756,CC,false,102,A,0,0,,0,
105,62,756,CC,false,106,A,0,0,,0,
106,62,756,CC,false,106,A,0,0,,0,
108,58,756,CC,false,109,A,0,0,,0,
109,58,756,CC,false,109,A,0,0,,0,
