TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.FDC,,11
1,feature.SpeciesProp.unmanaged.HW,,12
1,feature.Yield.unmanaged.CW,,13
1,feature.Yield.unmanaged.FDC,,14
1,feature.Yield.unmanaged.HW,,15
1,feature.Yield.unmanaged.Total,,16
2,feature.Area.managed,,17
2,feature.Area.og1.CWHvm_DR_HW_M,,18
2,feature.Area.og1.total,,18
2,feature.Area.og2.CWHvm_DR_HW_M,,19
2,feature.Area.og2.total,,19
2,feature.Height.managed.CWHvm_DR_HW_M,,20
2,feature.QMD.managed.CWHvm_DR_HW_M,,4
2,feature.Seral.CWHvm_DR_HW_M.immature,,21
2,feature.Seral.CWHvm_DR_HW_M.mature,,22
2,feature.Seral.CWHvm_DR_HW_M.overmature,,23
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,24
2,feature.Seral.CWHvm_DR_HW_M.young,,25
2,feature.Seral.immature,,21
2,feature.Seral.mature,,22
2,feature.Seral.overmature,,23
2,feature.Seral.regenerating,,24
2,feature.Seral.young,,25
2,feature.SpeciesProp.managed.CW,,10
2,feature.SpeciesProp.managed.FDC,,26
2,feature.SpeciesProp.managed.HW,,12
2,feature.Yield.managed.CW,,27
2,feature.Yield.managed.FDC,,28
2,feature.Yield.managed.HW,,29
2,feature.Yield.managed.Total,,30
3,feature.Area.managed,,2
3,feature.Area.og1.CWHvm_FDC_HW_H,,43
3,feature.Area.og1.total,,43
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Height.managed.CWHvm_FDC_HW_H,,44
3,feature.QMD.managed.CWHvm_FDC_HW_H,,4
3,feature.Seral.CWHvm_FDC_HW_H.immature,,45
3,feature.Seral.CWHvm_FDC_HW_H.mature,,46
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,47
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,45
3,feature.Seral.mature,,46
3,feature.Seral.overmature,,47
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.SpeciesProp.managed.CW,,48
3,feature.SpeciesProp.managed.FDC,,49
3,feature.SpeciesProp.managed.HW,,50
3,feature.Yield.managed.CW,,51
3,feature.Yield.managed.FDC,,52
3,feature.Yield.managed.HW,,53
3,feature.Yield.managed.Total,,54
4,feature.Area.og1.CWHvm_HW_CW_M,,67
4,feature.Area.og1.total,,67
4,feature.Area.og2.CWHvm_HW_CW_M,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.Height.unmanaged.CWHvm_HW_CW_M,,3
4,feature.QMD.unmanaged.CWHvm_HW_CW_M,,4
4,feature.Seral.CWHvm_HW_CW_M.immature,,68
4,feature.Seral.CWHvm_HW_CW_M.mature,,69
4,feature.Seral.CWHvm_HW_CW_M.overmature,,70
4,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
4,feature.Seral.CWHvm_HW_CW_M.young,,9
4,feature.Seral.immature,,68
4,feature.Seral.mature,,69
4,feature.Seral.overmature,,70
4,feature.Seral.regenerating,,8
4,feature.Seral.young,,9
4,feature.SpeciesProp.unmanaged.CW,,12
4,feature.SpeciesProp.unmanaged.FDC,,10
4,feature.SpeciesProp.unmanaged.HW,,71
4,feature.Yield.unmanaged.CW,,72
4,feature.Yield.unmanaged.FDC,,73
4,feature.Yield.unmanaged.HW,,74
4,feature.Yield.unmanaged.Total,,75
5,feature.Area.managed,,2
5,feature.Area.og1.CWHvm_HW_CW_M,,67
5,feature.Area.og1.total,,67
5,feature.Area.og2.CWHvm_HW_CW_M,,1
5,feature.Area.og2.total,,1
5,feature.Height.managed.CWHvm_HW_CW_M,,20
5,feature.QMD.managed.CWHvm_HW_CW_M,,4
5,feature.Seral.CWHvm_HW_CW_M.immature,,68
5,feature.Seral.CWHvm_HW_CW_M.mature,,69
5,feature.Seral.CWHvm_HW_CW_M.overmature,,70
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
5,feature.Seral.CWHvm_HW_CW_M.young,,9
5,feature.Seral.immature,,68
5,feature.Seral.mature,,69
5,feature.Seral.overmature,,70
5,feature.Seral.regenerating,,8
5,feature.Seral.young,,9
5,feature.SpeciesProp.managed.CW,,76
5,feature.SpeciesProp.managed.FDC,,77
5,feature.SpeciesProp.managed.HW,,71
5,feature.Yield.managed.CW,,78
5,feature.Yield.managed.FDC,,79
5,feature.Yield.managed.HW,,80
5,feature.Yield.managed.Total,,81
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_HW_FDC_H,,94
6,feature.Area.og1.total,,94
6,feature.Area.og2.CWHvm_HW_FDC_H,,1
6,feature.Area.og2.total,,1
6,feature.Height.managed.CWHvm_HW_FDC_H,,95
6,feature.QMD.managed.CWHvm_HW_FDC_H,,4
6,feature.Seral.CWHvm_HW_FDC_H.immature,,45
6,feature.Seral.CWHvm_HW_FDC_H.mature,,46
6,feature.Seral.CWHvm_HW_FDC_H.overmature,,47
6,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
6,feature.Seral.CWHvm_HW_FDC_H.young,,9
6,feature.Seral.immature,,45
6,feature.Seral.mature,,46
6,feature.Seral.overmature,,47
6,feature.Seral.regenerating,,8
6,feature.Seral.young,,9
6,feature.SpeciesProp.managed.CW,,12
6,feature.SpeciesProp.managed.FDC,,10
6,feature.SpeciesProp.managed.HW,,71
6,feature.Yield.managed.CW,,96
6,feature.Yield.managed.FDC,,97
6,feature.Yield.managed.HW,,98
6,feature.Yield.managed.Total,,99
7,feature.Area.og1.CWHvm_DR_HW_M,,0
7,feature.Area.og1.total,,0
7,feature.Area.og2.CWHvm_DR_HW_M,,1
7,feature.Area.og2.total,,1
7,feature.Area.unmanaged,,2
7,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
7,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
7,feature.Seral.CWHvm_DR_HW_M.immature,,5
7,feature.Seral.CWHvm_DR_HW_M.mature,,6
7,feature.Seral.CWHvm_DR_HW_M.overmature,,7
7,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
7,feature.Seral.CWHvm_DR_HW_M.young,,9
7,feature.Seral.immature,,5
7,feature.Seral.mature,,6
7,feature.Seral.overmature,,7
7,feature.Seral.regenerating,,8
7,feature.Seral.young,,9
7,feature.SpeciesProp.unmanaged.CW,,10
7,feature.SpeciesProp.unmanaged.FDC,,71
7,feature.SpeciesProp.unmanaged.HW,,12
7,feature.Yield.unmanaged.CW,,107
7,feature.Yield.unmanaged.FDC,,108
7,feature.Yield.unmanaged.HW,,109
7,feature.Yield.unmanaged.Total,,110
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_DR_HW_M,,0
8,feature.Area.og1.total,,0
8,feature.Area.og2.CWHvm_DR_HW_M,,1
8,feature.Area.og2.total,,1
8,feature.Height.managed.CWHvm_DR_HW_M,,20
8,feature.QMD.managed.CWHvm_DR_HW_M,,4
8,feature.Seral.CWHvm_DR_HW_M.immature,,5
8,feature.Seral.CWHvm_DR_HW_M.mature,,6
8,feature.Seral.CWHvm_DR_HW_M.overmature,,7
8,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
8,feature.Seral.CWHvm_DR_HW_M.young,,9
8,feature.Seral.immature,,5
8,feature.Seral.mature,,6
8,feature.Seral.overmature,,7
8,feature.Seral.regenerating,,8
8,feature.Seral.young,,9
8,feature.SpeciesProp.managed.CW,,10
8,feature.SpeciesProp.managed.FDC,,71
8,feature.SpeciesProp.managed.HW,,12
8,feature.Yield.managed.CW,,111
8,feature.Yield.managed.FDC,,112
8,feature.Yield.managed.HW,,113
8,feature.Yield.managed.Total,,114
9,feature.Area.managed,,2
9,feature.Area.og1.CWHvm_HW_CW_L,,124
