TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
1,0,0,0,985502004,unmanaged,planted,cc_pl,0.283129300487711
2,0,0,0,985502004,managed,planted,cc_pl,0.283129300487711
3,0,0,0,985503001,unmanaged,planted,cc_pl,0.039019789881704
4,0,0,0,985503001,managed,planted,cc_pl,0.039019789881704
5,0,0,0,985502003,unmanaged,planted,cc_pl,0.512408452505879
6,0,0,0,985502003,managed,planted,cc_pl,0.512408452505879
7,0,0,0,985503000,unmanaged,planted,cc_pl,0.035
8,0,0,0,985503000,managed,planted,cc_pl,0.035
9,0,0,0,985502004,unmanaged,planted,cc_pl,0.796602216511551
10,0,0,0,985502004,managed,planted,cc_pl,0.796602216511551
11,0,0,0,985501003,unmanaged,natural,baseline,0.035
12,0,0,0,985501003,managed,natural,baseline,0.035
13,0,0,0,985501003,managed,planted,cc_pl,0.035
14,0,0,0,985501001,unmanaged,planted,cc_pl,0.116642935971085
15,0,0,0,985501001,managed,planted,cc_pl,0.116642935971085
16,0,0,0,985502002,unmanaged,natural,baseline,0.035
17,0,0,0,985502002,managed,natural,baseline,0.035
18,0,0,0,985502002,managed,planted,cc_pl,0.035
19,0,0,0,985503000,unmanaged,planted,cc_pl,0.357432909692421
20,0,0,0,985503000,managed,planted,cc_pl,0.357432909692421
21,0,0,0,985501000,unmanaged,planted,cc_pl,0.035
22,0,0,0,985501000,managed,planted,cc_pl,0.035
23,0,0,0,985502001,unmanaged,planted,cc_pl,0.078993153077767
24,0,0,0,985502001,managed,planted,cc_pl,0.078993153077767
25,0,0,0,985503000,unmanaged,planted,cc_pl,0.297907188102052
26,0,0,0,985503000,managed,planted,cc_pl,0.297907188102052
27,0,0,0,985502001,unmanaged,planted,cc_pl,0.063746865421162
28,0,0,0,985502001,managed,planted,cc_pl,0.063746865421162
29,0,0,0,985503003,unmanaged,natural,baseline,0.101176883880507
30,0,0,0,985503003,managed,natural,baseline,0.101176883880507
31,0,0,0,985503003,managed,planted,cc_pl,0.101176883880507
32,0,0,0,985501000,unmanaged,natural,baseline,0.294339873260526
33,0,0,0,985501000,managed,natural,baseline,0.294339873260526
34,0,0,0,985501000,managed,planted,cc_pl,0.294339873260526
35,0,0,0,985502002,unmanaged,natural,baseline,0.690586130498379
36,0,0,0,985502002,managed,natural,baseline,0.690586130498379
37,0,0,0,985502002,managed,planted,cc_pl,0.690586130498379
38,0,0,0,985502003,unmanaged,natural,baseline,0.670257292405503
39,0,0,0,985502003,managed,natural,baseline,0.670257292405503
40,0,0,0,985502003,managed,planted,cc_pl,0.670257292405503
41,0,0,0,985503001,unmanaged,planted,cc_pl,0.035
42,0,0,0,985503001,managed,planted,cc_pl,0.035
43,0,0,0,985503000,unmanaged,natural,baseline,0.094658756466889
44,0,0,0,985503000,managed,natural,baseline,0.094658756466889
45,0,0,0,985503000,managed,planted,cc_pl,0.094658756466889
46,0,0,0,985501000,unmanaged,natural,baseline,0.083429829930807
47,0,0,0,985501000,managed,natural,baseline,0.083429829930807
48,0,0,0,985501000,managed,planted,cc_pl,0.083429829930807
49,0,0,0,985502006,unmanaged,natural,baseline,1.0
50,0,0,0,985501000,unmanaged,planted,cc_pl,0.340040308561643
51,0,0,0,985501000,managed,planted,cc_pl,0.340040308561643
52,0,0,0,985503000,unmanaged,planted,cc_pl,0.045344228314493
53,0,0,0,985503000,managed,planted,cc_pl,0.045344228314493
54,0,0,0,985502007,unmanaged,natural,baseline,0.279581043563297
55,0,0,0,985502007,managed,natural,baseline,0.279581043563297
56,0,0,0,985502007,managed,planted,cc_pl,0.279581043563297
57,0,0,0,985502001,unmanaged,planted,cc_pl,0.035
58,0,0,0,985502001,managed,planted,cc_pl,0.035
59,0,0,0,985503000,unmanaged,planted,cc_pl,0.161074795426115
60,0,0,0,985503000,managed,planted,cc_pl,0.161074795426115
