TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_CW_YC_M,0,0,10.0,0.0,10000.0,1.0,1.0,0.18799999356269836,0.0
feature.Height.managed.CWHvm_CW_YC_M,1,10,10.0,0.0,10000.0,1.0,1.0,0.19499999284744263,0.0
feature.Height.managed.CWHvm_CW_YC_M,2,20,10.0,0.0,10000.0,1.0,1.0,0.20200000703334808,0.0
feature.Height.managed.CWHvm_CW_YC_M,3,30,10.0,0.0,10000.0,1.0,1.0,0.006000000052154064,0.0
feature.Height.managed.CWHvm_CW_YC_M,4,40,10.0,0.0,10000.0,1.0,1.0,0.012000000104308128,0.0
feature.Height.managed.CWHvm_CW_YC_M,5,50,10.0,0.0,10000.0,1.0,1.0,0.01899999938905239,0.0
feature.Height.managed.CWHvm_CW_YC_M,6,60,10.0,0.0,10000.0,1.0,1.0,0.026000000536441803,0.0
feature.Height.managed.CWHvm_CW_YC_M,7,70,10.0,0.0,10000.0,1.0,1.0,0.032999999821186066,0.0
feature.Height.managed.CWHvm_CW_YC_M,8,80,10.0,0.0,10000.0,1.0,1.0,0.03999999910593033,0.0
feature.Height.managed.CWHvm_CW_YC_M,9,90,10.0,0.0,10000.0,1.0,1.0,0.04699999839067459,0.0
feature.Height.managed.CWHvm_CW_YC_M,10,100,10.0,0.0,10000.0,1.0,1.0,0.05299999937415123,0.0
feature.Height.managed.CWHvm_CW_YC_M,11,110,10.0,0.0,10000.0,1.0,1.0,0.05999999865889549,0.0
feature.Height.managed.CWHvm_CW_YC_M,12,120,10.0,0.0,10000.0,1.0,1.0,0.06700000166893005,0.0
feature.Height.managed.CWHvm_CW_YC_M,13,130,10.0,0.0,10000.0,1.0,1.0,0.07400000095367432,0.0
feature.Height.managed.CWHvm_CW_YC_M,14,140,10.0,0.0,10000.0,1.0,1.0,0.08100000023841858,0.0
feature.Height.managed.CWHvm_CW_YC_M,15,150,10.0,0.0,10000.0,1.0,1.0,0.08799999952316284,0.0
feature.Height.managed.CWHvm_CW_YC_M,16,160,10.0,0.0,10000.0,1.0,1.0,0.09399999678134918,0.0
feature.Height.managed.CWHvm_CW_YC_M,17,170,10.0,0.0,10000.0,1.0,1.0,0.10100000351667404,0.0
feature.Height.managed.CWHvm_CW_YC_M,18,180,10.0,0.0,10000.0,1.0,1.0,0.1080000028014183,0.0
feature.Height.managed.CWHvm_CW_YC_M,19,190,10.0,0.0,10000.0,1.0,1.0,0.11500000208616257,0.0
feature.Height.managed.CWHvm_CW_YC_M,20,200,10.0,0.0,10000.0,1.0,1.0,0.12200000137090683,0.0
feature.Height.managed.CWHvm_CW_YC_M,21,210,10.0,0.0,10000.0,1.0,1.0,0.12800000607967377,0.0
feature.Height.managed.CWHvm_CW_YC_M,22,220,10.0,0.0,10000.0,1.0,1.0,0.13500000536441803,0.0
feature.Height.managed.CWHvm_CW_YC_M,23,230,10.0,0.0,10000.0,1.0,1.0,0.1420000046491623,0.0
feature.Height.managed.CWHvm_CW_YC_M,24,240,10.0,0.0,10000.0,1.0,1.0,0.14900000393390656,0.0
feature.Height.managed.CWHvm_CW_YC_M,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Height.managed.CWHvm_CW_YC_M,26,260,10.0,0.0,10000.0,1.0,1.0,0.006000000052154064,0.0
feature.Height.managed.CWHvm_CW_YC_M,27,270,10.0,0.0,10000.0,1.0,1.0,0.013000000268220901,0.0
feature.Height.managed.CWHvm_CW_YC_M,28,280,10.0,0.0,10000.0,1.0,1.0,0.019999999552965164,0.0
feature.Height.managed.CWHvm_CW_YC_M,29,290,10.0,0.0,10000.0,1.0,1.0,0.027000000700354576,0.0
feature.Height.managed.CWHvm_CW_YC_M,30,300,10.0,0.0,10000.0,1.0,1.0,0.03400000184774399,0.0
