TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Treated.managed.CWHvm_FDC_HW_H.PCT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,2,20,10.0,0.0,10000.0,1.0,1.0,5.691999912261963,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,3,30,10.0,0.0,10000.0,1.0,1.0,34.6150016784668,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,4,40,10.0,0.0,10000.0,1.0,1.0,14.687999725341797,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,5,50,10.0,0.0,10000.0,1.0,1.0,61.07600021362305,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,6,60,10.0,0.0,10000.0,1.0,1.0,19.395000457763672,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,7,70,10.0,0.0,10000.0,1.0,1.0,6.314000129699707,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,9,90,10.0,0.0,10000.0,1.0,1.0,5.691999912261963,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,10,100,10.0,0.0,10000.0,1.0,1.0,18.253999710083008,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,12,120,10.0,0.0,10000.0,1.0,1.0,19.21299934387207,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,13,130,10.0,0.0,10000.0,1.0,1.0,29.738000869750977,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,14,140,10.0,0.0,10000.0,1.0,1.0,63.03300094604492,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,15,150,10.0,0.0,10000.0,1.0,1.0,25.062999725341797,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,18,180,10.0,0.0,10000.0,1.0,1.0,23.945999145507812,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,20,200,10.0,0.0,10000.0,1.0,1.0,19.21299934387207,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,21,210,10.0,0.0,10000.0,1.0,1.0,52.66299819946289,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,22,220,10.0,0.0,10000.0,1.0,1.0,19.69099998474121,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,23,230,10.0,0.0,10000.0,1.0,1.0,20.41699981689453,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,24,240,10.0,0.0,10000.0,1.0,1.0,25.062999725341797,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,27,270,10.0,0.0,10000.0,1.0,1.0,19.21299934387207,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.PCT,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
