TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_CW_PLC_M,0,0,10.0,0.0,10000.0,1.0,1.0,0.4099999964237213,0.0
feature.Height.managed.CWHvm_CW_PLC_M,1,10,10.0,0.0,10000.0,1.0,1.0,0.4269999861717224,0.0
feature.Height.managed.CWHvm_CW_PLC_M,2,20,10.0,0.0,10000.0,1.0,1.0,0.4449999928474426,0.0
feature.Height.managed.CWHvm_CW_PLC_M,3,30,10.0,0.0,10000.0,1.0,1.0,0.4620000123977661,0.0
feature.Height.managed.CWHvm_CW_PLC_M,4,40,10.0,0.0,10000.0,1.0,1.0,0.4790000021457672,0.0
feature.Height.managed.CWHvm_CW_PLC_M,5,50,10.0,0.0,10000.0,1.0,1.0,0.4970000088214874,0.0
feature.Height.managed.CWHvm_CW_PLC_M,6,60,10.0,0.0,10000.0,1.0,1.0,0.5139999985694885,0.0
feature.Height.managed.CWHvm_CW_PLC_M,7,70,10.0,0.0,10000.0,1.0,1.0,0.531000018119812,0.0
feature.Height.managed.CWHvm_CW_PLC_M,8,80,10.0,0.0,10000.0,1.0,1.0,0.5490000247955322,0.0
feature.Height.managed.CWHvm_CW_PLC_M,9,90,10.0,0.0,10000.0,1.0,1.0,0.5659999847412109,0.0
feature.Height.managed.CWHvm_CW_PLC_M,10,100,10.0,0.0,10000.0,1.0,1.0,0.5830000042915344,0.0
feature.Height.managed.CWHvm_CW_PLC_M,11,110,10.0,0.0,10000.0,1.0,1.0,0.6000000238418579,0.0
feature.Height.managed.CWHvm_CW_PLC_M,12,120,10.0,0.0,10000.0,1.0,1.0,0.6060000061988831,0.0
feature.Height.managed.CWHvm_CW_PLC_M,13,130,10.0,0.0,10000.0,1.0,1.0,0.6060000061988831,0.0
feature.Height.managed.CWHvm_CW_PLC_M,14,140,10.0,0.0,10000.0,1.0,1.0,0.6060000061988831,0.0
feature.Height.managed.CWHvm_CW_PLC_M,15,150,10.0,0.0,10000.0,1.0,1.0,0.6060000061988831,0.0
feature.Height.managed.CWHvm_CW_PLC_M,16,160,10.0,0.0,10000.0,1.0,1.0,0.6060000061988831,0.0
feature.Height.managed.CWHvm_CW_PLC_M,17,170,10.0,0.0,10000.0,1.0,1.0,0.6060000061988831,0.0
feature.Height.managed.CWHvm_CW_PLC_M,18,180,10.0,0.0,10000.0,1.0,1.0,0.012000000104308128,0.0
feature.Height.managed.CWHvm_CW_PLC_M,19,190,10.0,0.0,10000.0,1.0,1.0,0.028999999165534973,0.0
feature.Height.managed.CWHvm_CW_PLC_M,20,200,10.0,0.0,10000.0,1.0,1.0,0.04600000008940697,0.0
feature.Height.managed.CWHvm_CW_PLC_M,21,210,10.0,0.0,10000.0,1.0,1.0,0.06400000303983688,0.0
feature.Height.managed.CWHvm_CW_PLC_M,22,220,10.0,0.0,10000.0,1.0,1.0,0.08100000023841858,0.0
feature.Height.managed.CWHvm_CW_PLC_M,23,230,10.0,0.0,10000.0,1.0,1.0,0.09799999743700027,0.0
feature.Height.managed.CWHvm_CW_PLC_M,24,240,10.0,0.0,10000.0,1.0,1.0,0.11599999666213989,0.0
feature.Height.managed.CWHvm_CW_PLC_M,25,250,10.0,0.0,10000.0,1.0,1.0,0.13300000131130219,0.0
feature.Height.managed.CWHvm_CW_PLC_M,26,260,10.0,0.0,10000.0,1.0,1.0,0.15000000596046448,0.0
feature.Height.managed.CWHvm_CW_PLC_M,27,270,10.0,0.0,10000.0,1.0,1.0,0.16699999570846558,0.0
feature.Height.managed.CWHvm_CW_PLC_M,28,280,10.0,0.0,10000.0,1.0,1.0,0.1850000023841858,0.0
feature.Height.managed.CWHvm_CW_PLC_M,29,290,10.0,0.0,10000.0,1.0,1.0,0.20200000703334808,0.0
feature.Height.managed.CWHvm_CW_PLC_M,30,300,10.0,0.0,10000.0,1.0,1.0,0.21899999678134918,0.0
