TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
3/31/26, 8:54:24 PM PDT,0,0.0,Version,"2025.07 (2025-07-21 09:08:19 beanshell3-9b893)"
3/31/26, 8:54:40 PM PDT,0,0.0,Load file,"PIN file 'C:/Users/ejo78.stu/Documents/FRST 558 - Landscape/Patchworks FEMIC/HannosFork/femic-k3z-thinners/models/k3z_patchworks_model/analysis/thinners_base_case.pin' using BeanShell: 3.0.0-SPS.5569"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Opening block shapefile ../blocks/blocks.shpwith key BLOCK"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading blocks from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\blocks.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Block file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\blocks.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Hash code,"Block file '8BB8A577E0EDA8AD0E045836AD67BA9DC9F0F36D'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Total blocks read: 218"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Blocks with managed tracks: 211"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Blocks with unmanaged tracks: 218"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading curves from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\curves.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Curve file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\curves.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Hash code,"Curve file 'BEB3B9FB39521478A5D29F6D2C50A2E7A62D2AF8'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"1867 curves read from 29090 records"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading treatments from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\treatments.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Treatment file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\treatments.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"2 unique non-manual treatment labels read"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading features from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\features.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Feature file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\features.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"192 unique attributes after reading features"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading products from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\products.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Product file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\products.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"319 unique attributes after reading products"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading track names from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\tracknames.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Tracknames file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\tracknames.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"336 tracknames were read and 336 were properly matched"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading strata codes from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\strata.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Strata file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\strata.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"336 strata were read and 336 were properly matched"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading package definitions from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\packages.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Package 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\packages.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"0 package records were read"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading sequence definitions from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\packageSequences.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Sequences 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\packageSequences.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"0 sequence records were read"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Resolving packages"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Loading accounts from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\accounts.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Account file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\accounts.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Calculate groups using AU"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Calculate groups using IFM"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Adding groups from ..\groups_thinners.csv"
3/31/26, 8:54:41 PM PDT,0,0.0,Load file,"Group file '..\groups_thinners.csv'"
3/31/26, 8:54:41 PM PDT,0,0.0,Status,"Values from account 'feature.Area.og2.total' will be duplicated into account 'feature.Area.og2.percent'"
