TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
4/1/26, 11:14:46 AM PDT,0,0.0,Version,"2025.07 (2025-07-21 09:08:19 beanshell3-9b893)"
4/1/26, 11:15:12 AM PDT,0,0.0,Load file,"PIN file 'C:/Users/ejo78.stu/Documents/FRST 558 - Landscape/Patchworks FEMIC/HannosFork/femic-k3z-thinners/models/k3z_patchworks_model/analysis/thinners_base_case.pin' using BeanShell: 3.0.0-SPS.5569"
4/1/26, 11:15:12 AM PDT,0,0.0,Status,"Opening block shapefile ../blocks/blocks.shpwith key BLOCK"
4/1/26, 11:15:12 AM PDT,0,0.0,Status,"Loading blocks from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\blocks.csv"
4/1/26, 11:15:12 AM PDT,0,0.0,Load file,"Block file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\blocks.csv'"
4/1/26, 11:15:12 AM PDT,0,0.0,Hash code,"Block file '8BB8A577E0EDA8AD0E045836AD67BA9DC9F0F36D'"
4/1/26, 11:15:12 AM PDT,0,0.0,Status,"Total blocks read: 218"
4/1/26, 11:15:12 AM PDT,0,0.0,Status,"Blocks with managed tracks: 211"
4/1/26, 11:15:12 AM PDT,0,0.0,Status,"Blocks with unmanaged tracks: 218"
4/1/26, 11:15:12 AM PDT,0,0.0,Status,"Loading curves from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\curves.csv"
4/1/26, 11:15:12 AM PDT,0,0.0,Load file,"Curve file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\curves.csv'"
4/1/26, 11:15:13 AM PDT,0,0.0,Hash code,"Curve file 'BEB3B9FB39521478A5D29F6D2C50A2E7A62D2AF8'"
4/1/26, 11:15:13 AM PDT,0,0.0,Status,"1867 curves read from 29090 records"
4/1/26, 11:15:13 AM PDT,0,0.0,Status,"Loading treatments from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\treatments.csv"
4/1/26, 11:15:13 AM PDT,0,0.0,Load file,"Treatment file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\treatments.csv'"
4/1/26, 11:15:13 AM PDT,0,0.0,Status,"2 unique non-manual treatment labels read"
4/1/26, 11:15:13 AM PDT,0,0.0,Status,"Loading features from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\features.csv"
4/1/26, 11:15:13 AM PDT,0,0.0,Load file,"Feature file 'C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\features.csv'"
4/1/26, 11:15:13 AM PDT,0,0.0,Status,"192 unique attributes after reading features"
4/1/26, 11:15:13 AM PDT,0,0.0,Status,"Loading products from C:\Users\ejo78.stu\Documents\FRST 558 - Landscape\Patchworks FEMIC\HannosFork\femic-k3z-thinners\models\k3z_patchworks_model\analysis\..\tracks_thinners_base_case\products.csv"
