TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,70,756,CC,false,2,A,0,0,,0,
4,50,756,CC,false,4,A,0,0,,0,
4,10,10,PCT,false,5,R,0,0,,0,
5,50,756,CC,false,4,A,0,0,,0,
5,40,40,CT,false,6,R,0,0,,0,
6,50,756,CC,false,4,A,0,0,,0,
6,33,33,F1,false,7,R,0,0,,0,
7,50,756,CC,false,4,A,0,0,,0,
7,43,43,F2,false,8,R,0,0,,0,
8,50,756,CC,false,4,A,0,0,,0,
8,53,53,F3,false,9,R,0,0,,0,
9,50,756,CC,false,4,A,0,0,,0,
11,100,756,CC,false,11,A,0,0,,0,
13,70,756,CC,false,13,A,0,0,,0,
13,10,10,PCT,false,14,R,0,0,,0,
14,70,756,CC,false,13,A,0,0,,0,
14,40,40,CT,false,15,R,0,0,,0,
15,70,756,CC,false,13,A,0,0,,0,
15,44,44,F1,false,16,R,0,0,,0,
16,70,756,CC,false,13,A,0,0,,0,
16,54,54,F2,false,17,R,0,0,,0,
17,70,756,CC,false,13,A,0,0,,0,
17,64,64,F3,false,18,R,0,0,,0,
18,70,756,CC,false,13,A,0,0,,0,
20,70,756,CC,false,20,A,0,0,,0,
22,100,756,CC,false,23,A,0,0,,0,
23,100,756,CC,false,23,A,0,0,,0,
25,80,756,CC,false,25,A,0,0,,0,
25,10,10,PCT,false,26,R,0,0,,0,
26,80,756,CC,false,25,A,0,0,,0,
26,40,40,CT,false,27,R,0,0,,0,
27,80,756,CC,false,25,A,0,0,,0,
27,52,52,F1,false,28,R,0,0,,0,
28,80,756,CC,false,25,A,0,0,,0,
28,62,62,F2,false,29,R,0,0,,0,
29,80,756,CC,false,25,A,0,0,,0,
29,72,72,F3,false,30,R,0,0,,0,
30,80,756,CC,false,25,A,0,0,,0,
32,100,756,CC,false,33,A,0,0,,0,
33,100,756,CC,false,33,A,0,0,,0,
33,10,10,PCT,false,34,R,0,0,,0,
34,100,756,CC,false,33,A,0,0,,0,
34,40,40,CT,false,35,R,0,0,,0,
35,100,756,CC,false,33,A,0,0,,0,
35,58,58,F1,false,36,R,0,0,,0,
36,100,756,CC,false,33,A,0,0,,0,
36,68,68,F2,false,37,R,0,0,,0,
37,100,756,CC,false,33,A,0,0,,0,
37,78,78,F3,false,38,R,0,0,,0,
38,100,756,CC,false,33,A,0,0,,0,
40,80,756,CC,false,40,A,0,0,,0,
42,60,756,CC,false,42,A,0,0,,0,
42,10,10,PCT,false,43,R,0,0,,0,
43,60,756,CC,false,42,A,0,0,,0,
43,40,40,CT,false,44,R,0,0,,0,
44,60,756,CC,false,42,A,0,0,,0,
44,48,48,F1,false,45,R,0,0,,0,
45,60,756,CC,false,42,A,0,0,,0,
45,58,58,F2,false,46,R,0,0,,0,
46,60,756,CC,false,42,A,0,0,,0,
46,68,68,F3,false,47,R,0,0,,0,
47,60,756,CC,false,42,A,0,0,,0,
49,60,756,CC,false,49,A,0,0,,0,
49,10,10,PCT,false,50,R,0,0,,0,
50,60,756,CC,false,49,A,0,0,,0,
50,40,40,CT,false,51,R,0,0,,0,
51,60,756,CC,false,49,A,0,0,,0,
51,48,48,F1,false,52,R,0,0,,0,
52,60,756,CC,false,49,A,0,0,,0,
52,58,58,F2,false,53,R,0,0,,0,
53,60,756,CC,false,49,A,0,0,,0,
53,68,68,F3,false,54,R,0,0,,0,
54,60,756,CC,false,49,A,0,0,,0,
56,80,756,CC,false,57,A,0,0,,0,
57,80,756,CC,false,57,A,0,0,,0,
59,80,756,CC,false,60,A,0,0,,0,
60,80,756,CC,false,60,A,0,0,,0,
62,100,756,CC,false,63,A,0,0,,0,
63,100,756,CC,false,63,A,0,0,,0,
63,10,10,PCT,false,64,R,0,0,,0,
64,100,756,CC,false,63,A,0,0,,0,
64,40,40,CT,false,65,R,0,0,,0,
65,100,756,CC,false,63,A,0,0,,0,
65,58,58,F1,false,66,R,0,0,,0,
66,100,756,CC,false,63,A,0,0,,0,
66,68,68,F2,false,67,R,0,0,,0,
67,100,756,CC,false,63,A,0,0,,0,
67,78,78,F3,false,68,R,0,0,,0,
68,100,756,CC,false,63,A,0,0,,0,
70,100,756,CC,false,71,A,0,0,,0,
71,100,756,CC,false,71,A,0,0,,0,
73,50,756,CC,false,73,A,0,0,,0,
73,10,10,PCT,false,74,R,0,0,,0,
74,50,756,CC,false,73,A,0,0,,0,
74,40,40,CT,false,75,R,0,0,,0,
75,50,756,CC,false,73,A,0,0,,0,
75,33,33,F1,false,76,R,0,0,,0,
76,50,756,CC,false,73,A,0,0,,0,
76,43,43,F2,false,77,R,0,0,,0,
77,50,756,CC,false,73,A,0,0,,0,
77,53,53,F3,false,78,R,0,0,,0,
78,50,756,CC,false,73,A,0,0,,0,
80,70,756,CC,false,13,A,0,0,,0,
82,80,756,CC,false,83,A,0,0,,0,
83,80,756,CC,false,83,A,0,0,,0,
86,80,756,CC,false,86,A,0,0,,0,
88,70,756,CC,false,88,A,0,0,,0,
88,10,10,PCT,false,89,R,0,0,,0,
89,70,756,CC,false,88,A,0,0,,0,
89,40,40,CT,false,90,R,0,0,,0,
90,70,756,CC,false,88,A,0,0,,0,
90,44,44,F1,false,91,R,0,0,,0,
91,70,756,CC,false,88,A,0,0,,0,
91,54,54,F2,false,92,R,0,0,,0,
92,70,756,CC,false,88,A,0,0,,0,
92,64,64,F3,false,93,R,0,0,,0,
93,70,756,CC,false,88,A,0,0,,0,
95,80,756,CC,false,96,A,0,0,,0,
96,80,756,CC,false,96,A,0,0,,0,
98,60,756,CC,false,98,A,0,0,,0,
98,10,10,PCT,false,99,R,0,0,,0,
99,60,756,CC,false,98,A,0,0,,0,
99,40,40,CT,false,100,R,0,0,,0,
100,60,756,CC,false,98,A,0,0,,0,
100,48,48,F1,false,101,R,0,0,,0,
101,60,756,CC,false,98,A,0,0,,0,
101,58,58,F2,false,102,R,0,0,,0,
102,60,756,CC,false,98,A,0,0,,0,
102,68,68,F3,false,103,R,0,0,,0,
103,60,756,CC,false,98,A,0,0,,0,
105,70,756,CC,false,105,A,0,0,,0,
105,10,10,PCT,false,106,R,0,0,,0,
106,70,756,CC,false,105,A,0,0,,0,
106,40,40,CT,false,107,R,0,0,,0,
107,70,756,CC,false,105,A,0,0,,0,
107,44,44,F1,false,108,R,0,0,,0,
108,70,756,CC,false,105,A,0,0,,0,
108,54,54,F2,false,109,R,0,0,,0,
109,70,756,CC,false,105,A,0,0,,0,
109,64,64,F3,false,110,R,0,0,,0,
110,70,756,CC,false,105,A,0,0,,0,
112,80,756,CC,false,113,A,0,0,,0,
113,80,756,CC,false,113,A,0,0,,0,
115,100,756,CC,false,116,A,0,0,,0,
116,100,756,CC,false,116,A,0,0,,0,
116,10,10,PCT,false,117,R,0,0,,0,
117,100,756,CC,false,116,A,0,0,,0,
117,40,40,CT,false,118,R,0,0,,0,
118,100,756,CC,false,116,A,0,0,,0,
118,58,58,F1,false,119,R,0,0,,0,
119,100,756,CC,false,116,A,0,0,,0,
119,68,68,F2,false,120,R,0,0,,0,
120,100,756,CC,false,116,A,0,0,,0,
120,78,78,F3,false,121,R,0,0,,0,
121,100,756,CC,false,116,A,0,0,,0,
123,80,756,CC,false,124,A,0,0,,0,
124,80,756,CC,false,124,A,0,0,,0,
124,10,10,PCT,false,125,R,0,0,,0,
125,80,756,CC,false,124,A,0,0,,0,
125,40,40,CT,false,126,R,0,0,,0,
126,80,756,CC,false,124,A,0,0,,0,
126,52,52,F1,false,127,R,0,0,,0,
127,80,756,CC,false,124,A,0,0,,0,
127,62,62,F2,false,128,R,0,0,,0,
128,80,756,CC,false,124,A,0,0,,0,
128,72,72,F3,false,129,R,0,0,,0,
129,80,756,CC,false,124,A,0,0,,0,
131,100,756,CC,false,132,A,0,0,,0,
132,100,756,CC,false,132,A,0,0,,0,
134,100,756,CC,false,135,A,0,0,,0,
135,100,756,CC,false,135,A,0,0,,0,
138,100,756,CC,false,139,A,0,0,,0,
139,100,756,CC,false,139,A,0,0,,0,
141,70,756,CC,false,141,A,0,0,,0,
141,10,10,PCT,false,142,R,0,0,,0,
142,70,756,CC,false,141,A,0,0,,0,
142,40,40,CT,false,143,R,0,0,,0,
143,70,756,CC,false,141,A,0,0,,0,
143,44,44,F1,false,144,R,0,0,,0,
144,70,756,CC,false,141,A,0,0,,0,
144,54,54,F2,false,145,R,0,0,,0,
145,70,756,CC,false,141,A,0,0,,0,
145,64,64,F3,false,146,R,0,0,,0,
146,70,756,CC,false,141,A,0,0,,0,
148,80,756,CC,false,40,A,0,0,,0,
150,80,756,CC,false,150,A,0,0,,0,
150,10,10,PCT,false,151,R,0,0,,0,
151,80,756,CC,false,150,A,0,0,,0,
151,40,40,CT,false,152,R,0,0,,0,
152,80,756,CC,false,150,A,0,0,,0,
152,52,52,F1,false,153,R,0,0,,0,
153,80,756,CC,false,150,A,0,0,,0,
153,62,62,F2,false,154,R,0,0,,0,
154,80,756,CC,false,150,A,0,0,,0,
154,72,72,F3,false,155,R,0,0,,0,
155,80,756,CC,false,150,A,0,0,,0,
157,80,756,CC,false,158,A,0,0,,0,
158,80,756,CC,false,158,A,0,0,,0,
160,80,756,CC,false,161,A,0,0,,0,
161,80,756,CC,false,161,A,0,0,,0,
163,70,756,CC,false,163,A,0,0,,0,
165,80,756,CC,false,165,A,0,0,,0,
165,10,10,PCT,false,166,R,0,0,,0,
166,80,756,CC,false,165,A,0,0,,0,
166,40,40,CT,false,167,R,0,0,,0,
167,80,756,CC,false,165,A,0,0,,0,
167,52,52,F1,false,168,R,0,0,,0,
